experimentId,maxThroughput,avgThroughput,latencyAll,latencyOutlierRemoved,cpuShadow,memShadow,cpuApp,memApp,hostActive,elapsed
4rep,130133,129495,30,30,15.422885572139302,0.180064256,119.40298507462686,2.1657436160000003,9.791926272,266.423153506
50rep,9000,8161.714285714285,2808.1428571428573,2808.1428571428573,63,1.341538304,249.25373134328365,9.199415296,17.875140608,376.52182486699996
