experimentId,maxThroughput,avgThroughput,latencyAll,latencyOutlierRemoved,cpuShadow,memShadow,cpuApp,memApp,hostActive,elapsed
4rep,130266,129599.57142857143,30,30,9.975124378109452,0.179740672,146,2.021220352,9.590214656,422.550298615
50rep,9200,8237.857142857143,2765.4285714285716,2765.4285714285716,52.97029702970298,1.328971776,241.29353233830855,6.802354176,15.078572032,440.84307879599993
